id_me,morph,length_cm,weight_g,sex,mat,age,logCsize_dentary,logCsize_maxilla,logCsize_premaxilla,side,replica,bone,tooth_count
PC4381,PI,36,525,M,7,7,1.6835569,1.6926995,0.175563437,Right,May,Maxilla,18
PC4382,PI,44.2,940,M,7,8,1.7543931,1.7479365,0.232318015,Right,May,Maxilla,18
PC4383,PI,34.6,375,M,7,7,1.4154661,1.4297385,-0.126921994,Right,May,Maxilla,21
PC4384,PI,43.8,995,F,7,9,1.6728065,1.6748957,0.064648071,Right,May,Maxilla,23
PC4385,PI,36.4,380,M,7,7,1.5609401,1.5198259,-0.041888106,Right,May,Maxilla,20
PC4386,PI,36.6,435,M,7,9,1.5295359,1.5871455,-0.007148312,Right,May,Maxilla,20
PC4387,LB,40.6,750,M,1,7,1.5601724,1.5769722,0.197803413,Right,May,Maxilla,21
PC4388,LB,38,615,M,2,8,1.4131692,1.4050373,-0.040256165,Right,May,Maxilla,17
PC4389,PI,42,725,M,7,8,1.7444238,1.8302674,0.354438044,Right,May,Maxilla,20
PC4390,PI,37.8,485,M,6,8,1.5918797,1.5230084,0.054055366,Right,May,Maxilla,21
PC4391,PL,23.6,100,F,7,7,0.9067503,0.9004726,-0.703064471,Right,May,Maxilla,20
PC4392,PI,30.2,235,F,7,8,1.3011933,1.3152082,-0.273251465,Right,May,Maxilla,21
PC4393,PI,36.7,575,M,7,10,1.621709,1.5627847,0.025048823,Right,May,Maxilla,22
PC3831,LB,42.5,1061,F,2,8,1.5586187,1.58071,0.13205113,Left,May,Maxilla,21
PC3834,PL,15.6,37,M,4,5,0.6291754,0.6628085,-1.007234783,Left,May,Maxilla,20
PC3839,PI,42.8,1131,M,4,9,1.7415688,1.7564629,0.350827091,Left,May,Maxilla,22
PC3840,LB,37.1,672,M,4,7,1.4828573,1.4378166,0.007383798,Left,May,Maxilla,20
PC3841,PI,49.5,1714,M,4,9,1.937873,1.9217087,0.584365556,Left,May,Maxilla,24
PC3842,LB,42,1010,M,4,8,1.8332211,1.8412973,0.400484215,Left,May,Maxilla,25
PC3843,LB,40.7,815,M,6,9,1.7678126,1.8129056,0.404936718,Left,May,Maxilla,24
PC3844,LB,34.7,504,M,4,7,1.4081087,1.459648,-0.113099349,Left,May,Maxilla,19
PC3845,PI,46.9,1455,M,6,11,2.0186447,2.0275085,0.468832295,Left,May,Maxilla,24
PC3846,PI,43,990,M,6,9,NA,1.7665138,0.296609108,Left,May,Maxilla,19
PC3847,PI,36.7,655,M,5,8,1.6099149,1.5849015,0.123313747,Left,May,Maxilla,22
PC3848,PI,41.2,1001,M,6,9,1.8546751,1.7885364,0.28820758,Left,May,Maxilla,21
PC3849,LB,33.8,362,F,7.2,7,1.4153292,1.5337752,0.033599962,Left,May,Maxilla,26
PC3851,PL,22.3,130,M,5,9,1.0687775,1.0937171,-0.510273636,Left,May,Maxilla,21
PC3855,PL,19.4,74,M,4,5,0.8422651,0.8475624,-0.824705533,Left,May,Maxilla,19
PC3859,PL,14.8,36,M,4,5,0.5639932,0.5783102,-0.980015057,Left,May,Maxilla,20
PC3863,PL,14,33,M,4,4,0.5710018,0.5643297,-1.045710316,Left,May,Maxilla,19
PC3864,PI,45,1078,M,6,9,2.0029992,1.8850439,0.414055703,Left,May,Maxilla,22
PC3865,PI,24.5,162,M,6,7,1.1564078,1.1188713,-0.413937577,Left,May,Maxilla,19
