id_me,morph,length_cm,weight_g,logCsize_M,sex,age,sideLR,tooth,top,side,angle
PC3867,LB,24.5,145,1.0379227,F,NA,Right,1,0.28,0.25,48.2397003
PC3868,LB,34.2,430,1.0363248,F,6,Right,1,0.27,0.18,56.3099325
PC3870,PL,20.5,81,0.8542629,F,7,Right,1,0.07,0.21,18.4349488
PC3873,PL,18.5,65,0.8136642,M,5,Right,1,0.08,0.16,26.5650512
PC3875,PL,21,103,0.9586296,M,5,Right,1,0.11,0.22,26.5650512
PC3876,PL,18.8,74,0.7692542,F,5,Right,1,0.11,0.1,47.726311
PC3885,PL,19.1,72,0.8528283,M,5,Right,1,0.08,0.13,31.6075023
PC3896,PI,32.8,420,1.5156805,M,7,Right,1,0.23,0.35,33.3106308
PC3898,PI,45.6,1246,2.02753,M,10,Right,1,0.64,0.55,49.3250604
PC3900,PI,42.3,1091,1.6069573,F,8,Right,1,0.52,0.47,47.8912696
PC3901,PI,32.6,396,1.4128628,M,8,Right,1,0.39,0.35,48.0940581
PC3903,SB,17,56.35,0.6346327,F,,Right,1,0.1,0.24,22.619865
PC3904,SB,12.9,28.22,0.4516642,F,,Right,1,0.15,0.05,71.5650512
PC3905,SB,14.9,30.98,0.6168322,F,,Right,1,0.18,0.15,50.1944289
PC3906,SB,13.7,28,0.5517737,F,,Right,1,0.19,0.14,53.6156482
PC3907,SB,15,33.2,0.542951,F,,Right,1,0.2,0.13,56.9761324
PC3908,SB,15.2,35.16,0.6542346,F,,Right,1,0.17,0.08,64.7988764
PC3909,SB,13.5,22.81,0.5668606,M,,Right,1,0.2,0.19,46.4688007
PC3910,SB,13,24.5,0.6118178,M,,Right,1,0.16,0.21,37.3039483
PC3912,SB,16.2,41.6,0.7224972,F,,Right,1,0.23,0.19,50.440332
PC3913,SB,12.9,24.26,0.5436717,M,,Right,1,0.2,0.18,48.0127875
PC3914,SB,15.9,45.37,0.703114,F,,Right,1,0.19,0.18,46.5481577
PC3915,SB,13.7,26.47,0.6255865,M,,Right,1,0.19,0.14,53.6156482
PC3916,SB,13.9,27.19,0.5047694,M,,Right,1,0.16,0.12,53.1301024
PC3917,SB,14.7,35.24,0.6151123,M,,Right,1,0.2,0.21,43.602819
PC3918,SB,14.8,35.5,0.6437018,M,,Right,1,0.19,0.13,55.6196553
PC3919,SB,14.5,31.49,0.6159936,F,,Right,1,0.19,0.09,64.6538241
PC3921,SB,11.2,16,0.1868123,F,,Right,1,0.22,0.14,57.5288077
PC3922,SB,14.8,21.2,0.5529679,M,,Right,1,0.16,0.11,55.491477
PC3923,SB,13.9,27.7,0.6413723,M,,Right,1,0.15,0.15,45
PC3924,SB,13.6,26.44,0.5046917,M,,Right,1,0.14,0.09,57.2647737
PC3925,SB,14.8,31.05,0.4958832,F,,Right,1,0.19,0.15,51.7098368
PC3926,SB,13.7,25.66,0.5866406,M,,Right,1,0.23,0.2,48.9909131
PC3927,SB,13.3,28.1,0.5107096,M,,Right,1,0.21,0.14,56.3099325
PC3929,SB,13.3,26.92,0.5551984,M,,Right,1,0.19,0.2,43.5311993
PC3931,SB,11.8,16.33,0.3344535,F,,Right,1,0.13,0.05,68.962489
PC3934,SB,11.1,14.32,0.2181833,M,,Right,1,0.15,0.11,53.7461623
PC3935,SB,10.4,11.87,0.1303157,M,,Right,1,0.11,0.11,45
PC4200,PL,12.3,22.18,0.4566677,M,,Right,1,0.05,0.12,22.619865
PC4201,PL,14,29.18,0.636036,M,,Right,1,0.1,0.12,39.8055711
PC4202,PL,13.7,31.74,0.5689762,M,,Right,1,0.03,0.14,12.0947571
PC4203,PL,15,38.61,0.7029269,M,,Right,1,0.07,0.16,23.6293777
PC4204,PL,13.4,26.01,0.5801471,M,,Right,1,0.11,0.12,42.5104471
